ANIO;MES;DIA;HORA;PESPANIA;PPORTUGAL;
2007;07;08;10;3.936;3.314;
2007;07;08;11;4.65;4.23;
2007;07;08;12;4.921;4.7;
2007;07;08;13;4.921;4.4;
2007;07;08;14;4.921;4.7;
2007;07;08;15;4.921;4.656;
2007;07;08;16;4.921;4;
2007;07;08;17;4.669;3.171;
2007;07;08;18;4.504;2.95;
2007;07;08;19;4.569;2.903;
2007;07;08;20;4.65;2.65;
2007;07;08;21;4.921;2.746;
2007;07;08;22;4.921;2.932;
2007;07;08;23;5.523;4.257;
2007;07;08;24;5.569;3.403;
2007;07;09;1;5.225;3.107;
2007;07;09;2;5.15;2.824;
2007;07;09;3;3.936;2.377;
2007;07;09;4;3.936;2.275;
2007;07;09;5;3.936;2.24;
2007;07;09;6;3.936;2.275;
2007;07;09;7;3.936;2.483;
2007;07;09;8;3.936;3.058;
2007;07;09;9;4.569;3.107;
2007;07;09;10;7.009;3.775;
2007;07;09;11;7.15;4.5;
2007;07;09;12;7.15;5;
2007;07;09;13;7.15;5.807;
2007;07;09;14;7.005;5.8;
2007;07;09;15;6.821;4.3;
2007;07;09;16;7.009;4.37;
2007;07;09;17;7.009;4.3;
2007;07;09;18;7.009;4.4;
2007;07;09;19;6.401;3.956;
2007;07;09;20;5.569;3.5;
2007;07;09;21;5.353;3;
2007;07;09;22;5.225;3;
2007;07;09;23;5.569;3.5;
2007;07;09;24;5.225;3;
2007;07;10;1;4.98;3;
2007;07;10;2;3.936;2.83;
2007;07;10;3;4.8;2.63;
2007;07;10;4;3.936;2.543;
2007;07;10;5;3.936;2.506;
2007;07;10;6;3.936;2.506;
2007;07;10;7;3.936;2.75;
2007;07;10;8;3.936;3.314;
2007;07;10;9;4;3.801;
2007;07;10;10;4.569;3.85;
2007;07;10;11;5.389;4.64;
2007;07;10;12;5.4;5.3;
2007;07;10;13;6;6;
2007;07;10;14;6.821;5.8;
2007;07;10;15;5.523;4.43;
2007;07;10;16;5.523;4.44;
2007;07;10;17;5.569;4.5;
2007;07;10;18;5.4;4.821;
2007;07;10;19;5.523;4.31;
2007;07;10;20;5.369;3.85;
2007;07;10;21;5.523;3.5;
2007;07;10;22;5.225;3.5;
2007;07;10;23;5.201;3.675;
2007;07;10;24;5.225;3.171;
2007;07;11;1;4.669;3.363;
2007;07;11;2;4.504;3.058;
2007;07;11;3;4.504;2.85;
2007;07;11;4;3.936;2.841;
2007;07;11;5;3.936;2.815;
2007;07;11;6;3.936;2.831;
2007;07;11;7;3.936;3;
2007;07;11;8;3.936;3.414;
2007;07;11;9;3.936;3.925;
2007;07;11;10;5.354;4.44;
2007;07;11;11;5.571;4.47;
2007;07;11;12;5.997;5.156;
2007;07;11;13;6.537;5.424;
2007;07;11;14;5.997;5.424;
2007;07;11;15;6.267;4.43;
2007;07;11;16;6.823;4.4;
2007;07;11;17;6.537;4.25;
2007;07;11;18;6.537;4.47;
2007;07;11;19;5.997;4.4;
2007;07;11;20;5.525;3.7;
2007;07;11;21;5.354;3.107;
